Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1987,Alberta,Unattached individuals,After-tax income,Lowest quintile,7800,5.6
1987,Alberta,Unattached individuals,After-tax income,Second quintile,16800,12.1
1987,Alberta,Unattached individuals,After-tax income,Third quintile,23100,16.7
1987,Alberta,Unattached individuals,After-tax income,Fourth quintile,33900,24.5
1987,Alberta,Unattached individuals,After-tax income,Highest quintile,57100,41.2
1987,British Columbia,All family units,Market income,Total of quintiles,54200,100
1987,British Columbia,All family units,Market income,Lowest quintile,6300,2.3
1987,British Columbia,All family units,Market income,Second quintile,22500,8.3
1987,British Columbia,All family units,Market income,Third quintile,44400,16.4
1987,British Columbia,All family units,Market income,Fourth quintile,69200,25.5
1987,British Columbia,All family units,Market income,Highest quintile,128500,47.4
1987,British Columbia,All family units,Total income,Total of quintiles,60700,100
1987,British Columbia,All family units,Total income,Lowest quintile,14100,4.6
1987,British Columbia,All family units,Total income,Second quintile,31700,10.4
1987,British Columbia,All family units,Total income,Third quintile,50800,16.7
1987,British Columbia,All family units,Total income,Fourth quintile,74900,24.7
1987,British Columbia,All family units,Total income,Highest quintile,132200,43.5
1987,British Columbia,All family units,After-tax income,Total of quintiles,49800,100
1987,British Columbia,All family units,After-tax income,Lowest quintile,13500,5.4
1987,British Columbia,All family units,After-tax income,Second quintile,28200,11.3
1987,British Columbia,All family units,After-tax income,Third quintile,43000,17.3
1987,British Columbia,All family units,After-tax income,Fourth quintile,61200,24.6
1987,British Columbia,All family units,After-tax income,Highest quintile,103000,41.4
1987,British Columbia,"Economic families, two persons or more",Market income,Total of quintiles,67800,100
1987,British Columbia,"Economic families, two persons or more",Market income,Lowest quintile,11000,3.2
1987,British Columbia,"Economic families, two persons or more",Market income,Second quintile,37600,11.1
1987,British Columbia,"Economic families, two persons or more",Market income,Third quintile,59900,17.7
1987,British Columbia,"Economic families, two persons or more",Market income,Fourth quintile,84800,25
1987,British Columbia,"Economic families, two persons or more",Market income,Highest quintile,145600,43
1987,British Columbia,"Economic families, two persons or more",Total income,Total of quintiles,74900,100
1987,British Columbia,"Economic families, two persons or more",Total income,Lowest quintile,23000,6.1
1987,British Columbia,"Economic families, two persons or more",Total income,Second quintile,46300,12.4
1987,British Columbia,"Economic families, two persons or more",Total income,Third quintile,67100,17.9
1987,British Columbia,"Economic families, two persons or more",Total income,Fourth quintile,89300,23.8
1987,British Columbia,"Economic families, two persons or more",Total income,Highest quintile,149000,39.8
1987,British Columbia,"Economic families, two persons or more",After-tax income,Total of quintiles,61300,100
1987,British Columbia,"Economic families, two persons or more",After-tax income,Lowest quintile,22200,7.3
1987,British Columbia,"Economic families, two persons or more",After-tax income,Second quintile,40700,13.3
1987,British Columbia,"Economic families, two persons or more",After-tax income,Third quintile,55900,18.3
1987,British Columbia,"Economic families, two persons or more",After-tax income,Fourth quintile,72600,23.7
1987,British Columbia,"Economic families, two persons or more",After-tax income,Highest quintile,114900,37.5
1987,British Columbia,Unattached individuals,Market income,Total of quintiles,27600,100
1987,British Columbia,Unattached individuals,Market income,Lowest quintile,3800,2.8
1987,British Columbia,Unattached individuals,Market income,Second quintile,7500,5.5
1987,British Columbia,Unattached individuals,Market income,Third quintile,22300,16.2
1987,British Columbia,Unattached individuals,Market income,Fourth quintile,37500,27.3
1987,British Columbia,Unattached individuals,Market income,Highest quintile,66600,48.3
1987,British Columbia,Unattached individuals,Total income,Total of quintiles,32900,100
1987,British Columbia,Unattached individuals,Total income,Lowest quintile,8200,5
1987,British Columbia,Unattached individuals,Total income,Second quintile,18000,10.9
1987,British Columbia,Unattached individuals,Total income,Third quintile,28000,17
1987,British Columbia,Unattached individuals,Total income,Fourth quintile,41200,25.1
1987,British Columbia,Unattached individuals,Total income,Highest quintile,69000,42
1987,British Columbia,Unattached individuals,After-tax income,Total of quintiles,27300,100
1987,British Columbia,Unattached individuals,After-tax income,Lowest quintile,8000,5.9
1987,British Columbia,Unattached individuals,After-tax income,Second quintile,16900,12.4
1987,British Columbia,Unattached individuals,After-tax income,Third quintile,24000,17.6
1987,British Columbia,Unattached individuals,After-tax income,Fourth quintile,33800,24.8
1987,British Columbia,Unattached individuals,After-tax income,Highest quintile,53500,39.3
1988,Canada,All family units,Market income,Total of quintiles,57300,100
1988,Canada,All family units,Market income,Lowest quintile,6400,2.2
1988,Canada,All family units,Market income,Second quintile,24000,8.4
1988,Canada,All family units,Market income,Third quintile,48000,16.7
1988,Canada,All family units,Market income,Fourth quintile,74900,26.1
1988,Canada,All family units,Market income,Highest quintile,133400,46.5
1988,Canada,All family units,Total income,Total of quintiles,64400,100
1988,Canada,All family units,Total income,Lowest quintile,15200,4.7
1988,Canada,All family units,Total income,Second quintile,33800,10.5
1988,Canada,All family units,Total income,Third quintile,54900,17
1988,Canada,All family units,Total income,Fourth quintile,80200,24.9
1988,Canada,All family units,Total income,Highest quintile,138000,42.8
1988,Canada,All family units,After-tax income,Total of quintiles,52600,100
1988,Canada,All family units,After-tax income,Lowest quintile,14600,5.5
1988,Canada,All family units,After-tax income,Second quintile,30400,11.5
1988,Canada,All family units,After-tax income,Third quintile,46300,17.6
1988,Canada,All family units,After-tax income,Fourth quintile,65000,24.7
1988,Canada,All family units,After-tax income,Highest quintile,106800,40.6
1988,Canada,"Economic families, two persons or more",Market income,Total of quintiles,70300,100
1988,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12600,3.6
1988,Canada,"Economic families, two persons or more",Market income,Second quintile,39900,11.3
1988,Canada,"Economic families, two persons or more",Market income,Third quintile,63600,18.1
1988,Canada,"Economic families, two persons or more",Market income,Fourth quintile,88700,25.2
1988,Canada,"Economic families, two persons or more",Market income,Highest quintile,146900,41.8
1988,Canada,"Economic families, two persons or more",Total income,Total of quintiles,77900,100
1988,Canada,"Economic families, two persons or more",Total income,Lowest quintile,25600,6.6
1988,Canada,"Economic families, two persons or more",Total income,Second quintile,48900,12.6
1988,Canada,"Economic families, two persons or more",Total income,Third quintile,69900,17.9
1988,Canada,"Economic families, two persons or more",Total income,Fourth quintile,93700,24
1988,Canada,"Economic families, two persons or more",Total income,Highest quintile,151500,38.9
1988,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,63500,100
1988,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,24600,7.8
1988,Canada,"Economic families, two persons or more",After-tax income,Second quintile,43000,13.5
1988,Canada,"Economic families, two persons or more",After-tax income,Third quintile,58000,18.3
1988,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,75100,23.7
1988,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,116600,36.8
1988,Canada,Unattached individuals,Market income,Total of quintiles,27000,100
1988,Canada,Unattached individuals,Market income,Lowest quintile,4000,2.9
1988,Canada,Unattached individuals,Market income,Second quintile,6200,4.6
1988,Canada,Unattached individuals,Market income,Third quintile,17800,13.2
1988,Canada,Unattached individuals,Market income,Fourth quintile,36000,26.6
1988,Canada,Unattached individuals,Market income,Highest quintile,71200,52.6
1988,Canada,Unattached individuals,Total income,Total of quintiles,32900,100
1988,Canada,Unattached individuals,Total income,Lowest quintile,8800,5.3
1988,Canada,Unattached individuals,Total income,Second quintile,16900,10.3
1988,Canada,Unattached individuals,Total income,Third quintile,25500,15.5
1988,Canada,Unattached individuals,Total income,Fourth quintile,40000,24.3
1988,Canada,Unattached individuals,Total income,Highest quintile,73400,44.6
1988,Canada,Unattached individuals,After-tax income,Total of quintiles,27400,100
1988,Canada,Unattached individuals,After-tax income,Lowest quintile,8700,6.4
1988,Canada,Unattached individuals,After-tax income,Second quintile,16300,11.9
1988,Canada,Unattached individuals,After-tax income,Third quintile,22600,16.5
1988,Canada,Unattached individuals,After-tax income,Fourth quintile,33000,24.1
1988,Canada,Unattached individuals,After-tax income,Highest quintile,56200,41.1
1988,Newfoundland and Labrador,All family units,Market income,Total of quintiles,42300,100
1988,Newfoundland and Labrador,All family units,Market income,Lowest quintile,6000,2.8
1988,Newfoundland and Labrador,All family units,Market income,Second quintile,16800,7.9
1988,Newfoundland and Labrador,All family units,Market income,Third quintile,34000,16.1
1988,Newfoundland and Labrador,All family units,Market income,Fourth quintile,57500,27.2
1988,Newfoundland and Labrador,All family units,Market income,Highest quintile,97200,45.9
1988,Newfoundland and Labrador,All family units,Total income,Total of quintiles,54300,100
1988,Newfoundland and Labrador,All family units,Total income,Lowest quintile,15900,5.9
1988,Newfoundland and Labrador,All family units,Total income,Second quintile,31100,11.4
1988,Newfoundland and Labrador,All family units,Total income,Third quintile,48200,17.8
1988,Newfoundland and Labrador,All family units,Total income,Fourth quintile,68700,25.3
1988,Newfoundland and Labrador,All family units,Total income,Highest quintile,107500,39.6
1988,Newfoundland and Labrador,All family units,After-tax income,Total of quintiles,46500,100
1988,Newfoundland and Labrador,All family units,After-tax income,Lowest quintile,15400,6.6
1988,Newfoundland and Labrador,All family units,After-tax income,Second quintile,28900,12.4
1988,Newfoundland and Labrador,All family units,After-tax income,Third quintile,42700,18.4
1988,Newfoundland and Labrador,All family units,After-tax income,Fourth quintile,58000,24.9
1988,Newfoundland and Labrador,All family units,After-tax income,Highest quintile,87600,37.7
1988,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Total of quintiles,46800,100
1988,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Lowest quintile,6800,2.9
1988,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Second quintile,21700,9.3
1988,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Third quintile,41100,17.6
